STATIONCODE,LOCATION,STATE,MONTH,Temp,D.O._(mg/l),PH,CONDUCTIVITY_(µmhos/cm),TURBIDITY_(FNU),COLOR_(mgPt/L),ALKALINITY_(mmol/L),B.O.D._(mg/l),NITRATE,FECAL_COLIFORM_(MPN/100ml),Int_(cfu/100ml),CIPerf_(cfu/100_ml),TERMOTOL_COLIFORM_(cfu/100_ml),TOTAL_COLIFORM_(MPN/100ml)Mean,year
3383,OYEREN,STROMMEN,DEC,25.5,7.2,7.5,119,1.15,12,7.6,2.3,3.8,33,0.15,<1,<1,74,2015
3384,OYEREN,STROMMEN,DEC,25.1,7.2,7.5,120,1.01,12,7.8,2.3,4.1,31,0.77,<1,<1,67,2015
3380,OYEREN,STROMMEN,DEC,25.2,7.5,7.3,82,1.15,4,7.7,1.8,2.8,30,0.64,<1,<1,70,2015
1632,SEVELLE,STROMMEN,JAN,23.2,7.5,7.5,111,1.04,4,8.1,2.4,3,293,0.6,<1,<1,506,2015
1428,SEVELLE,STROMMEN,JAN,20.1,5.3,3.3,831,1.33,4,8,7.7,3.2,18,0.66,<1,<1,36,2015
3369,SEVELLE,STROMMEN,JAN,18.3,7.2,7.2,56,1.19,21,8,1.7,2.6,21,0.89,<1,<1,42,2015
3370,SEVELLE,STROMMEN,FEB,19.3,7.5,7.2,66,1.12,22,7.9,1.6,2.5,22,0.69,<1,<1,44,2015
3371,,STROMMEN,FEB,24,7.8,7,74,1.07,28,7.9,2.3,4.3,28,0.72,<1,<1,108,2015
3375,,STROMMEN,FEB,20.5,6.7,2.7,1350,1.02,7,7.6,3.3,1.1,7,0.72,<1,<1,16,2015
3376,,STROMMEN,MAR,21.2,7.3,6.6,274,1.07,22,7.6,2.5,2.4,176,0.75,<1,<1,386,2015
3381,SEVELLE,STROMMEN,MAR,26.3,7.4,7.3,67,1.04,22,7.3,1.8,2.5,25,0.6,<1,<1,55,2015
3382,SEVELLE,STROMMEN,APR,25.5,7.2,7.4,82,0.96,22,7.3,2,2.8,26,0.73,<1,<1,61,2015
3377,SEVELLE,STROMMEN,APR,20,7.3,7.1,55,0.96,22,7.3,1.9,2.5,24,0.75,<1,<1,53,2015
3378,SEVELLE,STROMMEN,MAY,20.3,7.3,7.1,57,1.16,22,7.1,2,2.4,24,0.74,<1,<1,50,2015
1631,SEVELLE,STROMMEN,MAY,19.4,6.6,7.1,114,0.89,22,7.1,2.6,2.8,2142,0.72,<1,<1,3108,2015
3379,SEVELLE,STROMMEN,JUN,21,7.3,5.6,56,1.11,14,7.4,1.8,2.1,16,0.63,<1,<1,34,2015
3367,SEVELLE,,JUN,19.2,5.1,7,105,1.17,14,7.6,3.6,4.7,351,0.63,<1,<1,780,2015
3368,SEVELLE,,JUN,18.3,7.3,7.1,51,1.14,14,7.8,1.6,2.4,19,0.65,<1,<1,40,2015
3372,SEVELLE,,JUL,19.6,7.7,7.2,50,0.94,12,7.7,1.6,2,19,0.62,<1,<1,36,2015
1633,SEVELLE,,AUG,23.7,7.6,7.3,115,1.13,12,8.1,2.1,3.7,301,1.09,<1,<1,528,2015
3353,SEVELLE,,AUG,18.2,6.2,7,81,1.14,12,8,2.4,5.1,36,0.14,<1,<1,79,2015
3354,SEVELLE,STROMMEN,SEP,18.8,7.2,7.1,66,1.01,12,8,1.9,3.4,28,0.71,<1,<1,63,2015
3355,SEVELLE,STROMMEN,OCT,18.9,7.4,7.1,57,0.93,12,7.9,1.5,2.9,13,0.72,<1,<1,40,2015
3356,SEVELLE,STROMMEN,OCT,25.1,7.5,7.4,144,1.2,12,7.6,1.7,3.5,26,0.18,<1,<1,59,2015
3350,SEVELLE,STROMMEN,NOV,18.8,7.1,7.1,63,1.13,8,2.2,1.9,5.6,22,0.61,<1,<1,48,2015
3351,SEVELLE,STROMMEN,NOV,20.2,7.3,7.2,65,1.23,7,5.2,1.9,3.3,24,0.12,<1,<1,48,2015
3352,SEVELLE,STROMMEN,DEC,20,7.3,7.3,65,1.06,7,5.6,2,3,25,0.71,<1,<1,54,2015
3359,SEVELLE,STROMMEN,DEC,18.5,1.5,6.9,345,0.97,7,5.5,33.9,16.9,23232,0.7,<1,<1,34251,2015
3360,SEVELLE,STROMMEN,DEC,18.8,3.9,7.1,233,1.11,6,5.8,17,10.5,13174,0.71,<1,<1,22223,2015
3361,BRUSDALSVATNET,ALESUND,JAN,18.3,1,7.2,376,0.99,2,5.8,57.2,20.3,48665,0.79,<1,<1,83554,2015
3362,BRUSDALSVATNET,ALESUND,JAN,18.5,0.9,7.2,506,1.13,2,5.8,61.1,19.6,64250,0.66,<1,<1,106333,2015
3357,BRUSDALSVATNET,ALESUND,FEB,18.2,7.2,7,66,1.06,2,6.1,1.9,3.7,28,0.58,<1,<1,60,2015
3358,BRUSDALSVATNET,ALESUND,FEB,22.1,7.7,7.2,62,1.09,2,6.1,1.6,3,27,0.75,<1,<1,59,2015
3363,BRUSDALSVATNET,ALESUND,MAR,17.6,7.3,6.9,61,1.12,11,6.4,2.2,2,25,0.69,<1,<1,52,2015
3364,BRUSDALSVATNET,ALESUND,APR,18.7,1.2,7.1,380,1.06,13,6.4,45.7,15.6,51583,0.7,<1,<1,94083,2015
3365,BRUSDALSVATNET,ALESUND,MAY,18.7,3.2,7.1,258,0.97,6,6.4,23.5,10.3,31833,0.7,<1,<1,54083,2015
1427,BRUSDALSVATNET,ALESUND,MAY,23.1,7.2,7.2,124,1.11,16,6.9,6.9,4.5,348,0.62,<1,<1,552,2015
3366,BRUSDALSVATNET,ALESUND,JUN,22.6,7.2,7.1,65,1.12,2,6.92,2.1,2.4,56,0.66,<1,<1,120,2015
3373,BRUSDALSVATNET,ALESUND,JUN,20,7.5,7.3,64,1.03,2,7.08,1.9,3.3,21,0.68,<1,<1,42,2015
3374,BRUSDALSVATNET,ALESUND,JUL,19.9,7.6,7.3,65,1.12,11,7.24,1.9,3.8,21,0.94,<1,<1,43,2015
2050,BRUSDALSVATNET,ALESUND,AUG,24.5,7.1,7.3,269,1.15,13,7.4,1.4,0.1,0,0.75,<1,<1,115,2015
2051,BRUSDALSVATNET,ALESUND,SEP,24.4,7.2,7.3,275,1.1,6,7.56,1.5,0.1,4,0.63,<1,<1,68,2015
2052,BRUSDALSVATNET,ALESUND,SEP,23.6,6.9,7.1,186,1.18,6,7.72,1.6,0.1,0,0.68,<1,<1,29,2015
2053,BRUSDALSVATNET,ALESUND,OCT,23.5,6.8,7.1,201,1.27,6,7.88,1.4,0.2,0,0.65,<1,<1,86,2015
1403,BRUSDALSVATNET,ALESUND,OCT,27.3,6.2,7.8,165,1.2,,8.04,2.1,0,282,0.74,<1,<1,340,2015
1404,BRUSDALSVATNET,ALESUND,NOV,29.1,6.4,7.8,158,1.25,,8.2,4.1,0.5,458,0.73,<1,<1,500,2015
1726,BRUSDALSVATNET,ALESUND,DEC,26.6,6.6,7.9,210,1.17,13,8.36,4.2,1.9,510,0.76,<1,<1,572,2015
2,MARIDASVANNET,OSLO,JAN,0,0,0,208,1.12,23,8.52,0,0,0,0.12,<1,<1,0,2014
1150,MARIDASVANNET,OSLO,JAN,27.1,7.3,7.9,693,1.2,17,8.68,0.5,1,161,0.71,<1,<1,173,2014
1246,,OSLO,JAN,27.3,5,7.6,1676,1.24,14,7.2,1.8,8,329,0.77,<1,<1,174,2014
1865,,OSLO,FEB,0,0,0,506,1,15,7.1,0,6,26,0.7,<1,<1,227,2014
1434,,OSLO,FEB,24.5,6,7.7,1863,1.17,8,6.8,8.6,1,47,0.69,<1,<1,1183,2014
1980,MARIDASVANNET,OSLO,FEB,0,0,0,24300,1.19,21,6.8,0,7,22474,0.18,<1,<1,24,2014
1149,MARIDASVANNET,OSLO,MAR,27.5,5.3,7.8,817,1.09,22,6.8,2.8,1,9,0.19,<1,<1,23,2014
1436,MARIDASVANNET,OSLO,MAR,28.3,4.3,7.8,2307,1.12,28,6.7,103.8,1.23,0,0.65,<1,<1,1817,2014
1860,MARIDASVANNET,OSLO,MAR,28.4,4.5,8.3,1287,0.99,7,6.8,1.5,11,116,0.62,<1,<1,5,2014
2082,MARIDASVANNET,OSLO,APR,0,0,0,0,1.16,16,6.8,0,0,0,0.63,<1,<1,2,2014
1148,MARIDASVANNET,OSLO,APR,27.6,6.8,8.2,1862,0.96,2,6.8,2.5,0.87,7,0.72,<1,<1,64,2014
3205,MARIDASVANNET,OSLO,MAY,0,5,8,0,1.18,2,7,0.7,0,0,0.77,<1,<1,0,2014
3204,MARIDASVANNET,OSLO,MAY,0,3,7.7,0,1.17,11,6.9,0.4,0,0,0.71,<1,<1,0,2014
1862,MARIDASVANNET,OSLO,JUN,27,6.7,8.1,2520,1.06,13,7,7.2,1,6,0.74,<1,<1,41,2014
2072,MARIDASVANNET,OSLO,JUN,29,8.2,8.4,606,1.08,6,7.2,2.9,0,0,0.69,<1,<1,0,2014
0,MARIDASVANNET,OSLO,JUN,0,0,0,0,1.09,6,7.2,0,0,0,0.68,<1,<1,0,2014
1399,MARIDASVANNET,,JUL,30,5.6,7.5,41,1.06,6,6.9,2,0.08,7022,0.67,<1,<1,13410,2014
1475,MARIDASVANNET,OSLO,JUL,30.4,5.5,6.7,209,1.1,,6.7,0.8,0.17,1893,0.69,<1,<1,2915,2014
3181,MARIDASVANNET,OSLO,AUG,30.8,5.5,7.1,123,1.21,13,7.3,1.5,0.09,3293,0.61,<1,<1,6264,2014
3182,MARIDASVANNET,OSLO,AUG,30.3,5.3,7.3,182,1.11,13,6.4,1.5,0.08,1976,0.68,<1,<1,3080,2014
1400,MARIDASVANNET,OSLO,SEP,30.1,6,7.6,100,1.14,15,6.6,1.2,0.17,5129,0.69,<1,<1,6086,2014
1476,MARIDASVANNET,OSLO,SEP,29.9,5.7,6.9,111,1.22,15,6.51,1,0.14,939,0.59,<1,<1,3061,2014
3185,MARIDASVANNET,OSLO,OCT,29.1,6.4,7.1,140,1.17,15,6.42,1.1,0.1,4464,0.16,<1,<1,7908,2014
3186,MARIDASVANNET,OSLO,OCT,29.9,6.2,7.8,44,1.16,15,6.33,2,0.06,9429,0.6,<1,<1,9320,2014
3187,MARIDASVANNET,OSLO,NOV,29.8,6.1,7.6,43,1.17,16,6.24,1.8,0.06,6668,0.73,<1,<1,9554,2014
1543,MARIDASVANNET,OSLO,NOV,27.9,7,6.9,64,1.16,,6.15,1.1,0.09,1641,0.66,<1,<1,2841,2014
1548,MARIDASVANNET,OSLO,NOV,28.2,6.6,6.5,62,1.21,,6.06,1,0.14,4073,0.22,<1,<1,7190,2014
2276,MARIDASVANNET,OSLO,DEC,29.6,7,6.8,304,1.13,,5.97,2,0.49,12140,0.78,<1,<1,23867,2014
2275,MARIDASVANNET,OSLO,DEC,28.8,7,7,55,1.15,7,5.88,1.2,0.66,1298,0.77,<1,<1,2813,2014
3189,MARIDASVANNET,OSLO,DEC,29.5,6.3,7.6,213,1.09,7,5.79,1.5,0.06,3803,0.66,<1,<1,7069,2014
1546,SKJAERSJOELVA,OSLO,DEC,29.8,6.7,6.8,83,1.07,7,5.7,1.2,0.17,2140,0.6,<1,<1,3559,2014
2270,SKJAERSJOELVA,,JAN,29.7,7.1,6.6,76,0.97,7,5.61,1,0.12,2367,0.72,<1,<1,3527,2014
2272,SKJAERSJOELVA,OSLO,JAN,28.7,6.7,6.6,107,1.09,14,5.52,1.3,0.22,2461,0.64,<1,<1,3757,2014
1545,SKJAERSJOELVA,OSLO,FEB,27.9,7.2,6.7,89,1.1,14,5.43,0.9,0.06,832,0.75,<1,<1,1996,2014
2274,SKJAERSJOELVA,OSLO,MAR,29.3,4.2,6.7,192,1.12,14,6,2,0.16,4448,0.69,<1,<1,9286,2014
2271,SKJAERSJOELVA,OSLO,APR,28.6,6.3,6.6,79,1.02,13,6,1.6,0.19,2830,0.62,<1,<1,6054,2014
2273,SKJAERSJOELVA,OSLO,MAY,29.8,5.6,7.7,142,1.08,17,6,1.7,0.14,1831,0.64,<1,<1,3644,2014
3183,SKJAERSJOELVA,OSLO,JUN,28.6,2.8,6.4,424,1.02,17,6.5,3.2,0.35,12658,0.7,<1,<1,21036,2014
3184,SKJAERSJOELVA,OSLO,JUL,30.6,5.2,7.1,306,1.2,17,6.5,2.6,0.34,1411,0.69,<1,<1,1525,2014
3190,SKJAERSJOELVA,OSLO,AUG,30.3,5.6,7.7,40,1.15,21,6.6,1.5,0.07,4153,0.73,<1,<1,7130,2014
3191,SKJAERSJOELVA,OSLO,SEP,30.4,5.5,7.7,40,1.2,22,7.2,1.5,0.08,7086,0.62,<1,<1,12282,2014
1547,SKJAERSJOELVA,OSLO,OCT,29.6,6.9,6.7,63,1.18,28,7.7,0.9,0.21,691,0.63,<1,<1,1132,2014
3188,SKJAERSJOELVA,OSLO,NOV,29.6,6.3,7.6,227,1.1,7,7.2,1.7,0.08,3622,0.66,<1,<1,3612,2014
1544,SKJAERSJOELVA,OSLO,DEC,29.5,7.1,6.6,68,1.01,,7.2,1.1,0.13,4124,0.74,<1,<1,8167,2014
2651,DAUSJOELVA,OSLO,JAN,26.7,6.9,7.7,121,1.04,8,7.7,3.3,1,77,0.55,<1,<1,163,2014
1461,DAUSJOELVA,OSLO,JAN,29.3,7.2,8.2,112,1.02,8,8.2,3.3,1,39,0.71,<1,<1,94,2014
2653,DAUSJOELVA,OSLO,FEB,28,6.9,7.7,103,1.08,8,8.7,3.7,0.57,48,0.71,<1,<1,103,2014
2654,DAUSJOELVA,OSLO,FEB,28.2,6.9,7.6,104,1.12,8,9.2,3.5,0.75,37,0.68,<1,<1,79,2014
1092,DAUSJOELVA,OSLO,MAR,26.5,6.4,7.4,1003,1.04,16,9.7,4.3,2.89,524,0.12,<1,<1,753,2014
2670,DAUSJOELVA,OSLO,MAR,20.7,6.3,8.3,408,1.1,16,10.2,2.7,1.58,64,0.69,<1,<1,157,2014
1152,DAUSJOELVA,OSLO,APR,27.2,6.7,7.8,105,1.17,16,10.7,3.6,1,43,0.57,<1,<1,89,2014
2198,DAUSJOELVA,OSLO,APR,27.5,6.3,7.6,209,0.96,,11.2,4.4,1.86,48,0.65,<1,<1,98,2014
2671,DAUSJOELVA,OSLO,MAY,26,5.9,7.6,13768,1.08,,11.7,5,1.79,166,0.67,<1,<1,300,2014
2672,DAUSJOELVA,OSLO,MAY,26.5,7.3,7.7,86,1.25,2,12.2,3.2,1,50,0.58,<1,<1,93,2014
2168,DAUSJOELVA,OSLO,MAY,27,3.6,7.4,6487,1.05,2,12.7,30.5,1.5,534,0.76,<1,<1,745,2014
2676,DAUSJOELVA,OSLO,JUN,27.3,6.3,8.3,999,1.11,2,6.3,3.3,1.78,4,0.68,<1,<1,112,2014
1151,DAUSJOELVA,OSLO,JUN,28.7,7.2,7.7,125,1.1,2,7.1,3.3,1,39,0.65,<1,<1,89,2014
1462,DAUSJOELVA,OSLO,JUL,28.4,7.1,7.5,127,1.08,11,7,3.4,4.4,17,0.8,<1,<1,63,2014
2685,DAUSJOELVA,OSLO,JUL,28.7,7.1,7.4,5300,1.09,13,6.4,38,1,388,0.71,<1,<1,667,2014
2686,DAUSJOELVA,OSLO,AUG,28.7,7.2,7.6,127,1.13,6,7.2,3.2,1,22,0.69,<1,<1,51,2014
2687,DAUSJOELVA,OSLO,AUG,28.7,7,7.6,126,1.1,,7.4,3.3,1,20,0.62,<1,<1,63,2014
2688,DAUSJOELVA,OSLO,AUG,28.7,7.2,7.6,126,1.14,22,8,3.4,1.89,29,0.61,<1,<1,64,2014
2689,DAUSJOELVA,,SEP,28.7,7.1,7.8,112,1.05,22,8.5,3.2,0.63,43,0.59,<1,<1,88,2014
2199,DAUSJOELVA,,SEP,29.3,6.8,7.7,9590,1.18,2,9,3.6,4.57,3,0.63,<1,<1,124,2014
2701,DAUSJOELVA,,OCT,28.3,6.8,7.4,174,1.26,24,9.5,3.7,2.26,4,0.6,<1,<1,124,2014
2702,DAUSJOELVA,,OCT,28.7,6.8,7.6,2572,1.17,12,10,3.3,4.22,4,0.12,<1,<1,118,2014
2703,DAUSJOELVA,,NOV,29.2,6.7,7.8,6030,1.08,8,10.5,4.4,4.78,4,0.11,<1,<1,138,2014
2704,DAUSJOELVA,,NOV,28.7,6.8,7.7,7207,1.12,8,11,3.9,4.25,3,0.55,<1,<1,120,2014
2706,DAUSJOELVA,,DEC,27.2,6.8,8.1,167,1,8,6.3,3.8,1,32,0.71,<1,<1,85,2014
2707,DAUSJOELVA,,DEC,27.2,6.8,8,173,1.19,8,7.2,3.5,1,53,0.62,<1,<1,98,2014
2708,SVARTEDIKET,BERGEN,JAN,27.2,7,8,168,1.38,8,7.1,3.6,1,44,0.62,<1,<1,83,2014
2709,SVARTEDIKET,BERGEN,JAN,28,6.9,7.9,131,1.06,8,7.1,3.5,0.75,41,0.56,<1,<1,96,2014
1094,SVARTEDIKET,BERGEN,JAN,26.2,7,7.6,125,1.18,15,7.2,3.5,0.6,33,0.64,<1,<1,63,2014
2162,SVARTEDIKET,BERGEN,FEB,26.2,7.2,7.5,132,1.1,15,7.3,3.3,0.9,38,0.68,<1,<1,88,2014
2712,SVARTEDIKET,BERGEN,FEB,28.2,7.2,7.7,119,1.06,15,7.4,3.3,1,35,0.75,<1,<1,68,2014
2164,SVARTEDIKET,BERGEN,FEB,24.5,6.9,7.5,159,1.07,15,7.5,2.8,1,3,0.6,<1,<1,82,2014
2713,SVARTEDIKET,BERGEN,FEB,24.5,6.7,7.7,141,0.97,7,7.6,3.3,3,4,0.66,<1,<1,90,2014
2714,SVARTEDIKET,BERGEN,FEB,24.5,7.3,7.7,132,1.16,7,7.7,2.9,2,3,0.7,<1,<1,88,2014
1342,SVARTEDIKET,BERGEN,MAR,24,6.4,7.3,76,1.05,7,8.2,1.7,0.62,199,0.63,<1,<1,788,2014
1443,SVARTEDIKET,BERGEN,MAR,24.9,,7.1,85,1.05,7,6.4,1.7,0.53,262,0.67,<1,<1,538,2014
3465,SVARTEDIKET,BERGEN,MAR,24.3,6.3,7.1,69,1.08,13,7.5,1.3,0.57,248,0.59,<1,<1,593,2014
3466,SVARTEDIKET,BERGEN,MAR,24.8,6.5,7.3,76,1.01,13,6.5,1.6,0.55,226,0.74,<1,<1,545,2014
2297,SVARTEDIKET,BERGEN,MAR,26.4,6.7,6.6,60,1.12,13,6.3,1.2,0.34,228,0.71,<1,<1,435,2014
2319,SVARTEDIKET,BERGEN,APR,27,7,6.6,3544,1.19,18,6.5,1.5,0.37,208,0.64,<1,<1,435,2014
2286,SVARTEDIKET,BERGEN,APR,26.6,6.7,7.3,51,1.02,18,6.9,0.8,0.35,547,,<1,<1,1567,2014
2331,,BERGEN,APR,28.6,6.9,7.7,107,0.9,18,6.3,0.7,0.46,255,0.63,<1,<1,443,2014
2332,,BERGEN,APR,28.8,6.7,7.9,173,1.12,22,6.3,0.9,0.56,191,0.64,<1,<1,426,2014
1154,,BERGEN,MAY,28,5.6,6.9,126,1.09,28,7.1,1.2,0.67,266,,<1,<1,990,2014
20,,BERGEN,MAY,27.4,7.3,7.4,70,1.13,7,7,0.8,0.31,2984,0.69,<1,<1,4208,2014
21,,BERGEN,MAY,27.5,6.9,7.4,12754,1.03,7,6.4,0.8,0.29,1807,0.58,<1,<1,2557,2014
3464,SVARTEDIKET,BERGEN,MAY,26.8,7.1,7.4,80,0.94,7,7.2,0.6,0.5,1921,0.62,<1,<1,2831,2014
1572,SVARTEDIKET,BERGEN,MAY,30,7.2,6.9,62,0.87,7,7.4,1.3,0.11,33,0.61,<1,<1,150,2014
1573,SVARTEDIKET,BERGEN,JUN,28.8,3.4,6.7,2965,1.04,7,7.5,2.3,1.11,271,0.65,<1,<1,1236,2014
2295,SVARTEDIKET,BERGEN,JUN,27.4,6.1,7.2,15871,1.12,5,7.7,0.9,0.25,1667,0.62,<1,<1,2975,2014
1564,SVARTEDIKET,BERGEN,JUN,24.8,6.4,7.2,120,1.12,5,7.9,1.9,0.77,258,0.76,<1,<1,618,2014
2287,SVARTEDIKET,BERGEN,JUN,23.6,6.2,7.2,7448,1.11,5,8.1,2,1.01,184,0.77,<1,<1,483,2014
1566,SVARTEDIKET,BERGEN,JUN,29.8,6.6,6.9,77,1.08,5,8.3,1.6,0.29,264,0.56,<1,<1,756,2014
2293,SVARTEDIKET,BERGEN,JUL,30.2,6.8,7,72,1.01,5,8.5,1.7,0.2,249,0.73,<1,<1,785,2014
2337,SVARTEDIKET,BERGEN,JUL,28.2,2.9,6.7,305,1.1,5,8.7,2.2,1.28,403,0.58,<1,<1,1623,2014
2338,SVARTEDIKET,,JUL,27.7,3,6.6,86,1.07,8,8.9,2,0.39,357,0.54,<1,<1,1319,2014
42,SVARTEDIKET,,AUG,23.9,6.7,7.1,79,1.07,8,,1.6,0.34,313,0.59,<1,<1,738,2014
2294,SVARTEDIKET,,AUG,27.4,3.6,7.3,32790,0.95,8,,2.6,0.59,64259,0.65,<1,<1,112867,2014
3460,SVARTEDIKET,,AUG,27.8,6.1,7.8,2905,1.12,8,,1.3,0.54,422,0.67,<1,<1,997,2014
3458,SVARTEDIKET,,AUG,26.4,6.9,7.4,112,1.05,8,,0.5,0.35,50,0.16,<1,<1,67,2014
1571,SVARTEDIKET,BERGEN,AUG,29.6,7,6.9,51,1.16,8,,1.1,0.18,44,0.6,<1,<1,317,2014
1155,SVARTEDIKET,BERGEN,SEP,27,3.1,7.2,1416,1.01,8,,13.2,4.41,2992,0.18,<1,<1,19917,2014
3471,SVARTEDIKET,BERGEN,SEP,26.3,7,7.1,30,1.07,16,,0.5,0.32,211,0.64,<1,<1,496,2014
2289,SVARTEDIKET,BERGEN,SEP,30,6.1,7,59,1.15,2,,1.8,0.58,89,0.6,<1,<1,282,2014
2301,SVARTEDIKET,BERGEN,SEP,28,6,6.4,61,1.01,2,7,2.1,0.28,87,0.63,<1,<1,300,2014
2291,SVARTEDIKET,BERGEN,SEP,30.1,6.3,7,105,1.24,11,7.2,2.8,0.37,142,0.58,<1,<1,543,2014
2326,SVARTEDIKET,BERGEN,SEP,27.9,6.9,8.1,502,1.51,13,7.2,0.9,0.72,382,0.6,<1,<1,615,2014
1569,SVARTEDIKET,BERGEN,OCT,27,5.9,6.7,14662,1.08,6,6.9,1.5,0.52,144,0.73,<1,<1,377,2014
2298,SVARTEDIKET,BERGEN,OCT,26,7.8,6.8,49,0.86,6,6.7,1.4,0.3,122,0.54,<1,<1,319,2014
1567,SVARTEDIKET,BERGEN,OCT,27.7,7.1,7.4,380,1.08,6,7.3,1,0.14,1527,0.52,<1,<1,66382,2014
1568,SVARTEDIKET,BERGEN,OCT,27.1,7.3,7.2,67,1,,6.4,0.9,0.38,6490,0.61,<1,<1,3471,2014
2285,SVARTEDIKET,BERGEN,OCT,26.5,6.2,7.2,51,1.2,,,0.8,0.23,331,0.76,<1,<1,942,2014
1340,SVARTEDIKET,BERGEN,OCT,28.5,7.2,6.8,69,1.08,,6.3,1.2,0.45,706,0.67,<1,<1,941,2014
1384,SVARTEDIKET,BERGEN,OCT,28.7,6.9,6.7,75,1.03,,6.5,2.5,0.4,526,0.67,<1,<1,701,2014
3459,SVARTEDIKET,BERGEN,OCT,25.7,6.3,7.4,113,1.15,,6.7,0.6,0.88,98,0.78,<1,<1,128,2014
2307,SVARTEDIKET,BERGEN,OCT,29.3,7.6,6.8,79,1.2,,7,1.6,0.31,48,0.78,<1,<1,109,2014
1339,SVARTEDIKET,BERGEN,OCT,27,7,7.2,57,1.23,,6.7,0.6,0.46,2117,0.7,<1,<1,3558,2014
2304,SVARTEDIKET,BERGEN,OCT,30.9,5.9,7,22576,1.05,23,4.2,1.5,0.35,42,,<1,<1,253,2014
43,,BERGEN,NOV,27.1,6.8,7.2,105,1.04,23,6,0.6,0.39,1200,0.76,<1,<1,2392,2014
2302,,BERGEN,NOV,30.3,6.3,6.7,2315,1.02,23,7.3,1.3,0.17,55,0.14,<1,<1,278,2014
1570,,BERGEN,NOV,30.4,6.4,6.9,18569,1.12,21,6.3,1,0.27,40,0.18,<1,<1,277,2014
1563,,BERGEN,NOV,26.2,6.6,7.3,45,1.05,21,6.4,0.6,0.39,228,0.7,<1,<1,940,2014
2284,,BERGEN,NOV,26.2,6.9,7.2,42,1.17,21,5.9,0.5,0.18,151,0.78,<1,<1,774,2014
2288,,BERGEN,NOV,25.1,6,7.3,92,1.15,21,4.6,1.7,0.56,256,0.73,<1,<1,597,2014
1156,SVARTEDIKET,BERGEN,NOV,27.4,6.1,7.2,59,1.13,18,6.5,0.7,1.04,181,0.77,<1,<1,311,2014
1341,SVARTEDIKET,BERGEN,NOV,28.1,4.5,6.9,1190,1.07,28,8.4,0.7,1.17,218,0.69,<1,<1,388,2014
1565,SVARTEDIKET,BERGEN,DEC,28.3,4.2,7,69,1.13,7,10.3,0.6,1.04,240,0.69,<1,<1,420,2014
17,SVARTEDIKET,BERGEN,DEC,28.2,6,7,5569,1.14,,12.2,2.2,0.68,473,0.69,<1,<1,1894,2014
18,SVARTEDIKET,BERGEN,DEC,27.2,7.3,7,34,1.17,,14.1,1,0.27,234,0.61,<1,<1,927,2014
1338,SVARTEDIKET,BERGEN,DEC,27.4,6.3,7,44,1.1,18,16,1.6,0.32,487,1.04,<1,<1,1876,2014
2333,SVARTEDIKET,BERGEN,DEC,28.2,6.4,7.2,49,1,22,13.9,1.4,0.23,362,0.72,<1,<1,1357,2014
2334,SVARTEDIKET,BERGEN,DEC,27.9,5.9,7,3272,1.1,22,11.8,2.2,0.62,330,0.7,<1,<1,1284,2014
2335,SVARTEDIKET,BERGEN,DEC,27.3,4.6,7,65,1.09,2,5.7,1.7,0.28,631,0.76,<1,<1,1937,2014
2336,SVARTEDIKET,BERGEN,DEC,28.2,6.5,6.9,4650,1.09,24,8.2,2,1,340,0.72,<1,<1,1573,2014
3468,SVARTEDIKET,BERGEN,DEC,28.2,6.5,7,42,1.14,12,6.4,1.4,1,249,0.77,<1,<1,1221,2014
2300,,STROMMEN,DEC,26.7,6.4,6.4,45,1.04,8,7.5,1.2,1,142,0.83,<1,<1,376,2014
2303,OYEREN,STROMMEN,JAN,28,6,6.1,56,1.14,8,6.5,1.2,0,136,0.82,<1,<1,438,2014
2290,OYEREN,STROMMEN,JAN,29.7,5.3,6.8,99,1.09,8,6.3,2.8,0.79,106,0.77,<1,<1,523,2014
2299,OYEREN,STROMMEN,JAN,28.2,3.6,6.5,22131,1.55,8,6.5,1.8,0.95,105,0.68,<1,<1,261,2014
2305,OYEREN,STROMMEN,JAN,28.9,6.9,6.7,66,0.95,8,6.9,1.8,0,93,1.37,<1,<1,205,2014
2296,OYEREN,STROMMEN,FEB,26.4,6,6.6,67,1.02,8,6.3,1.5,3.69,168,0.74,<1,<1,398,2014
2292,OYEREN,STROMMEN,FEB,30,4.9,6.8,9107,1.07,15,6.3,1.6,1,208,0.68,<1,<1,614,2014
2306,OYEREN,STROMMEN,FEB,30.8,6.3,7,18931,1.04,15,7.1,1.4,1,34,0.63,<1,<1,201,2014
3473,OYEREN,STROMMEN,FEB,27.8,6.6,6.8,15525,0.83,15,7,1.1,0.06,149,0.7,<1,<1,347,2014
1442,OYEREN,STROMMEN,FEB,26.7,7.1,7.5,46,1.11,15,6.4,0.8,1,239,0.35,<1,<1,1097,2014
1448,OYEREN,STROMMEN,FEB,27,6,7.3,432,0.97,7,7.2,1.2,3,3,0.77,<1,<1,78,2014
2352,OYEREN,STROMMEN,MAR,26.8,6.1,7.7,328,0.95,7,7.4,1.2,1,3,0.81,<1,<1,211,2014
3080,OYEREN,STROMMEN,MAR,19,5.8,7.8,707,1.17,7,8,0.6,0.85,2,0.77,<1,<1,1100,2014
3081,OYEREN,STROMMEN,MAR,21.4,6.1,8,674,1.04,7,8.5,0.9,1,2,0.76,<1,<1,1260,2014
